;price;floor_area;age;floor;roof;room_num;hall_num;neighborhood
49;4750000;130;3;6;0;3;1;Suadiye Mahallesi
50;3750000;135;3;5;0;3;1;Göztepe Mahallesi
51;3750000;130;4;9;0;3;1;Erenköy Mahallesi
52;3650000;200;1;1;0;3;2;19 Mayıs Mahallesi
53;4350000;145;3;3;0;3;1;Suadiye Mahallesi
54;2430000;140;30;3;0;3;1;Zühtüpaşa Mahallesi
55;3550000;200;2;5;1;4;1;Erenköy Mahallesi
56;8400000;150;5;7;0;3;1;Göztepe Mahallesi
57;3200000;150;30;4;0;3;1;Feneryolu Mahallesi
58;3140000;135;2;1;0;3;1;Merdivenköy Mahallesi
59;7450000;155;4;4;0;3;1;Fenerbahçe Mahallesi
60;15000000;155;3;8;0;3;1;Fenerbahçe Mahallesi
61;2900000;182;30;8;0;3;1;Merdivenköy Mahallesi
62;3050000;150;31;5;0;3;1;Feneryolu Mahallesi
63;2950000;165;23;2;0;3;1;Erenköy Mahallesi
64;3595000;170;30;2;0;3;1;Göztepe Mahallesi
65;9500000;165;0;14;0;3;1;Suadiye Mahallesi
66;6600000;300;0;10;0;4;2;Bostancı Mahallesi
67;4000000;145;4;11;0;2;1;Göztepe Mahallesi
68;5750000;125;1;3;0;3;1;Caddebostan Mahallesi
69;6600000;180;31;4;0;4;1;Suadiye Mahallesi
70;4100000;120;0;8;0;3;1;19 Mayıs Mahallesi
71;4595000;130;2;11;0;3;1;19 Mayıs Mahallesi
72;2650000;85;2;6;0;2;1;Feneryolu Mahallesi
73;3695000;145;3;6;0;3;1;Bostancı Mahallesi
74;6350000;150;7;5;0;3;1;Caddebostan Mahallesi
75;2650000;110;7;8;0;2;1;Bostancı Mahallesi
76;3985000;145;30;1;0;3;1;Suadiye Mahallesi
77;4275000;140;25;5;0;3;1;Suadiye Mahallesi
78;3050000;150;33;5;0;3;1;Feneryolu Mahallesi
79;4450000;266;26;1;0;4;1;Dumlupınar Mahallesi
80;12000000;250;5;3;0;4;1;Fenerbahçe Mahallesi
81;3595000;170;30;3;0;3;1;Feneryolu Mahallesi
